platform,title,artist,listeners,playcount,country,chart_position
Last.fm,Drop Dead,Olivia Rodrigo,112701,0,united states,1
Last.fm,Stateside + Zara Larsson,PinkPantheress,106820,0,united states,2
Last.fm,Earrings,Malcolm Todd,84847,0,united states,3
Last.fm,Beauty and a Beat,Justin Bieber,80865,0,united states,4
Last.fm,Babydoll,Dominic Fike,66058,0,united states,5
Last.fm,In My Room,Julia Wolf,56372,0,united states,6
Last.fm,Mr. Brightside,The Killers,54042,0,united states,7
Last.fm,505,Arctic Monkeys,53604,0,united states,8
Last.fm,E85,Don Toliver,53587,0,united states,9
Last.fm,Sweet Boy,Malcolm Todd,53174,0,united states,10
Last.fm,Roommates,Malcolm Todd,51160,0,united states,11
Last.fm,Confident,Justin Bieber,50086,0,united states,12
Last.fm,House Tour,Sabrina Carpenter,49520,0,united states,13
Last.fm,Fame Is a Gun,Addison Rae,49061,0,united states,14
Last.fm,Creep,Radiohead,48027,0,united states,15
Last.fm,Dreams - 2004 Remaster,Fleetwood Mac,47953,0,united states,16
Last.fm,The Less I Know the Better,Tame Impala,47541,0,united states,17
Last.fm,"Lover, You Should've Come Over",Jeff Buckley,44983,0,united states,18
Last.fm,Manchild,Sabrina Carpenter,44467,0,united states,19
Last.fm,Go Away,Weezer,44163,0,united states,20
Last.fm,Everlong,Foo Fighters,43943,0,united states,21
Last.fm,LES,Childish Gambino,42900,0,united states,22
Last.fm,Dracula,Tame Impala,42398,0,united states,23
Last.fm,My Own Worst Enemy,Lit,42219,0,united states,24
Last.fm,No One Noticed,The Marías,41759,0,united states,25
Last.fm,Flashing Lights,Kanye West,41051,0,united states,26
Last.fm,The Adults Are Talking,The Strokes,41047,0,united states,27
Last.fm,Sienna,The Marías,40883,0,united states,28
Last.fm,Sweater Weather,The Neighbourhood,40871,0,united states,29
Last.fm,Dracula - JENNIE remix,Tame Impala,40673,0,united states,30
Last.fm,The Great Divide,Noah Kahan,40558,0,united states,31
Last.fm,DAISIES,Justin Bieber,40549,0,united states,32
Last.fm,Doors,Noah Kahan,40442,0,united states,33
Last.fm,DtMF,Bad Bunny,40159,0,united states,34
Last.fm,Lovers Rock,TV Girl,39940,0,united states,35
Last.fm,See You Again (feat. Kali Uchis),"Tyler, The Creator",39313,0,united states,36
Last.fm,Let Down,Radiohead,38975,0,united states,37
Last.fm,Pink + White,Frank Ocean,38793,0,united states,38
Last.fm,Nights,Frank Ocean,38772,0,united states,39
Last.fm,Be Like a Woman,Chris Rainbow,38763,0,united states,40
Last.fm,End of August,Noah Kahan,38633,0,united states,41
Last.fm,End of Beginning,Djo,38585,0,united states,42
Last.fm,PINKY UP,KATSEYE,38438,0,united states,43
Last.fm,Still Into You,Paramore,37985,0,united states,44
Last.fm,No Pole,Don Toliver,37903,0,united states,45
Last.fm,Iris,The Goo Goo Dolls,37813,0,united states,46
Last.fm,All I Wanted,Paramore,37775,0,united states,47
Last.fm,Midnight Sun,Zara Larsson,37651,0,united states,48
Last.fm,"Good Luck, Babe!",Chappell Roan,37631,0,united states,49
Last.fm,back to friends,sombr,37415,0,united states,50
